Rnd,Pick,Team,Player,Pos,College/Univ
1,1,ARI,Kyler Murray,QB,Oklahoma
1,2,SFO,Nick Bosa,DE,Ohio St.
1,3,NYJ,Quinnen Williams,DT,Alabama
1,4,OAK,Clelin Ferrell,DE,Clemson
1,5,TAM,Devin White,LB,LSU
1,6,NYG,Daniel Jones,QB,Duke
1,7,JAX,Josh Allen,LB,Kentucky
1,8,DET,T.J. Hockenson,TE,Iowa
1,9,BUF,Ed Oliver,DT,Houston
1,10,PIT,Devin Bush Jr.,LB,Michigan
1,11,CIN,Jonah Williams,G,Alabama
1,12,GNB,Rashan Gary,LB,Michigan
1,13,MIA,Christian Wilkins,DT,Clemson
1,14,ATL,Chris Lindstrom,G,Boston Col.
1,15,WAS,Dwayne Haskins,QB,Ohio St.
1,16,CAR,Brian Burns,DE,Florida St.
1,17,NYG,Dexter Lawrence,DT,Clemson
1,18,MIN,Garrett Bradbury,C,North Carolina St.
1,19,TEN,Jeffery Simmons,DT,Mississippi St.
1,20,DEN,Noah Fant,TE,Iowa
1,21,GNB,Darnell Savage Jr.,S,Maryland
1,22,PHI,Andre Dillard,T,Washington St.
1,23,HOU,Tytus Howard,T,Alabama St.
1,24,OAK,Josh Jacobs,RB,Alabama
1,25,BAL,Marquise Brown,WR,Oklahoma
1,26,WAS,Montez Sweat,DE,Mississippi St.
1,27,OAK,Johnathan Abram,S,Mississippi St.
1,28,LAC,Jerry Tillery,DT,Notre Dame
1,29,SEA,L.J. Collier,DE,TCU
1,30,NYG,Deandre Baker,CB,Georgia
1,31,ATL,Kaleb McGary,T,Washington
1,32,NWE,N'Keal Harry,WR,Arizona St.
2,33,ARI,Byron Murphy,CB,Washington
2,34,IND,Rock Ya-Sin,CB,Temple
2,35,JAX,Jawaan Taylor,T,Florida
2,36,SFO,Deebo Samuel,WR,South Carolina
2,37,CAR,Greg Little,T,Mississippi
2,38,BUF,Cody Ford,T,Oklahoma
2,39,TAM,Sean Murphy-Bunting,CB,Central Michigan
2,40,OAK,Trayvon Mullen,CB,Clemson
2,41,DEN,Dalton Risner,T,Kansas St.
2,42,DEN,Drew Lock,QB,Missouri
2,43,DET,Jahlani Tavai,LB,Hawaii
2,44,GNB,Elgton Jenkins,C,Mississippi St.
2,45,NWE,Joejuan Williams,CB,Vanderbilt
2,46,CLE,Greedy Williams,CB,LSU
2,47,SEA,Marquise Blair,S,Utah
2,48,NOR,Erik McCoy,C,Texas A&M
2,49,IND,Ben Banogu,LB,TCU
2,50,MIN,Irv Smith Jr.,TE,Alabama
2,51,TEN,A.J. Brown,WR,Mississippi
2,52,CIN,Drew Sample,TE,Washington
2,53,PHI,Miles Sanders,RB,Penn St.
2,54,HOU,Lonnie Johnson,CB,Kentucky
2,55,HOU,Max Scharping,T,Northern Illinois
2,56,KAN,Mecole Hardman,WR,Georgia
2,57,PHI,JJ Arcega-Whiteside,WR,Stanford
2,58,DAL,Trysten Hill,DT,Central Florida
2,59,IND,Parris Campbell,WR,Ohio St.
2,60,LAC,Nasir Adderley,S,Delaware
2,61,LAR,Taylor Rapp,S,Washington
2,62,ARI,Andy Isabella,WR,Massachusetts
2,63,KAN,Juan Thornhill,S,Virginia
2,64,SEA,D.K. Metcalf,WR,Mississippi
3,65,ARI,Zach Allen,DE,Boston Col.
3,66,PIT,Diontae Johnson,WR,Toledo
3,67,SFO,Jalen Hurd,WR,Baylor
3,68,NYJ,Jachai Polite,LB,Florida
3,69,JAX,Josh Oliver,TE,San Jose St.
3,70,LAR,Darrell Henderson,RB,Memphis
3,71,DEN,Dre'Mont Jones,DT,Ohio St.
3,72,CIN,Germaine Pratt,LB,North Carolina St.
3,73,CHI,David Montgomery,RB,Iowa St.
3,74,BUF,Devin Singletary,RB,Florida Atlantic
3,75,GNB,Jace Sternberger,TE,Texas A&M
3,76,WAS,Terry McLaurin,WR,Ohio St.
3,77,NWE,Chase Winovich,DE,Michigan
3,78,MIA,Michael Deiter,G,Wisconsin
3,79,LAR,David Long,CB,Michigan
3,80,CLE,Sione Takitaki,LB,BYU
3,81,DET,Will Harris,S,Boston Col.
3,82,TEN,Nate Davis,G,Charlotte
3,83,PIT,Justin Layne,CB,Michigan St.
3,84,KAN,Khalen Saunders,DT,West. Illinois
3,85,BAL,Jaylon Ferguson,DE,Louisiana Tech
3,86,HOU,Kahale Warring,TE,San Diego St.
3,87,NWE,Damien Harris,RB,Alabama
3,88,SEA,Cody Barton,LB,Utah
3,89,IND,Bobby Okereke,LB,Stanford
3,90,DAL,Connor McGovern,G,Penn St.
3,91,LAC,Trey Pipkins,T,Sioux Falls
3,92,NYJ,Chuma Edoga,T,USC
3,93,BAL,Miles Boykin,WR,Notre Dame
3,94,TAM,Jamel Dean,CB,Auburn
3,95,NYG,Oshane Ximines,DE,Old Dominion
3,96,BUF,Dawson Knox,TE,Mississippi
3,97,LAR,Bobby Evans,T,Oklahoma
3,98,JAX,Quincy Williams,S,Murray St.
3,99,TAM,Mike Edwards,S,Kentucky
3,100,CAR,Will Grier,QB,West Virginia
3,101,NWE,Yodny Cajuste,T,West Virginia
3,102,MIN,Alexander Mattison,RB,Boise St.
4,103,ARI,Hakeem Butler,WR,Iowa St.
4,104,CIN,Ryan Finley,QB,North Carolina St.
4,105,NOR,Chauncey Gardner-Johnson,S,Florida
